tconst,year,budget
tt0279331,2002,15000000
tt0279721,2002,160000
tt0279778,2002,27000000
tt0279781,2002,12000000
tt0279889,2001,38000000
tt0280030,2002,20000000
tt0280380,2002,30000000
tt0280460,2002,10000000
tt0280477,2002,250000
tt0280486,2002,70000000
tt0280590,2002,50000000
tt0280707,2001,19800000
tt0280760,2002,9000000
tt0281322,2002,20000000
tt0281358,2002,11800000
tt0281373,2002,33000000
tt0281820,2002,30000000
tt0282120,2002,25000000
tt0282209,2003,11000000
tt0282687,2002,40000000
tt0283026,2002,10000000
tt0283111,2002,5000000
tt0283139,2002,16000000
tt0283426,2003,20000000
tt0283503,2007,8000000
tt0283530,2002,12500000
tt0283632,2002,17000000
tt0284490,2002,85000000
tt0285175,2005,9000000
tt0285462,2002,20000000
tt0285487,2002,1800000
tt0285531,2003,68000000
tt0285728,2002,250000
tt0285742,2001,4000000
tt0285823,2003,29000000
tt0285861,2003,10000000
tt0286106,2002,72000000
tt0286162,2002,1800000
tt0286261,2002,9000000
tt0286594,2002,10000000
tt0286716,2003,137000000
tt0286788,2003,25000000
tt0286947,2003,7000000
tt0287717,2002,38000000
tt0287978,2003,78000000
tt0288477,2002,20000000
tt0289043,2002,8000000
tt0289408,2002,11000000
tt0289635,2003,6400000
tt0289765,2002,78000000
tt0289848,2002,60000000
tt0289879,2004,13000000
tt0289992,2003,38000000
tt0290002,2004,80000000
tt0290095,2002,60000000
tt0290212,2002,2000000
tt0290249,2002,1000000
tt0290332,2001,7000000
tt0290334,2003,110000000
tt0291502,2002,10000000
tt0292610,2002,12000000
tt0292644,2002,4000000
tt0293113,2002,1600000
tt0293508,2004,70000000
tt0293564,2007,140000000
tt0293662,2002,21000000
tt0294357,2003,35000000
tt0294870,2005,40000000
tt0295178,2002,63000000
tt0295254,2002,40000000
tt0295289,2003,20000000
tt0295297,2002,100000000
tt0295427,2002,16000000
tt0295700,2003,12600000
tt0295701,2002,70000000
tt0295721,2003,1300000
tt0295725,2002,825000
tt0296572,2004,105000000
tt0297037,2002,8000000
tt0297181,2002,70000000
tt0297884,2002,13500000
tt0298130,2002,48000000
tt0298148,2004,150000000
tt0298203,2002,41000000
